39075869,Andrea,Rojas,arojask@gmail.com,socio,True,False,2024-08-25,arojask@gmail.com
29557879,Paula,Bravo,pbravoj@gmail.com,socio,True,False,2024-03-29,pbravoj@gmail.com
43813544,Hector,Echeverria,hecheverrias@gmail.com,socio,True,False,2024-04-29,hecheverrias@gmail.com
51707179,Jose,Flores,jflorese@gmail.com,socio,True,False,2025-09-24,jflorese@gmail.com
40029161,Paula,Lopez,plopezf@gmail.com,socio,True,False,2024-05-27,plopezf@gmail.com
62249121,Florencia,Kraus,fkrausj@gmail.com,socio,True,False,2024-10-04,fkrausj@gmail.com
35948701,Isabella,Rojas,irojasb@gmail.com,socio,True,False,2025-08-29,irojasb@gmail.com
47479908,Mateo,Vega,mvegaa@gmail.com,socio,True,False,2024-02-22,mvegaa@gmail.com
70819005,Alonso,Castillo,acastillom@gmail.com,socio,True,False,2024-01-30,acastillom@gmail.com
96177608,Marcos,Navarro,mnavarror@gmail.com,socio,True,False,2024-10-23,mnavarror@gmail.com
76473852,Catalina,Silva,csilvag@gmail.com,socio,True,False,2025-01-20,csilvag@gmail.com
28754310,Mateo,Cruz,mcruzr@gmail.com,socio,True,False,2025-06-24,mcruzr@gmail.com
22357361,Ignacio,Gonzalez,igonzalezo@gmail.com,socio,False,False,2024-10-07,igonzalezo@gmail.com
90771986,Tomas,Navarro,tnavarroc@gmail.com,socio,False,False,2024-09-24,tnavarroc@gmail.com
19013806,Pablo,Ortiz,portizs@gmail.com,socio,True,False,2024-07-28,portizs@gmail.com
52171230,Hector,Perez,hperezk@gmail.com,socio,False,False,2024-11-16,hperezk@gmail.com
83106438,Florencia,Sanchez,fsanchezr@gmail.com,socio,True,False,2025-04-09,fsanchezr@gmail.com
23644112,Elena,Kraus,ekrausl@gmail.com,socio,True,False,2024-10-12,ekrausl@gmail.com
78893211,Clara,Arias,cariasg@gmail.com,socio,True,False,2024-06-15,cariasg@gmail.com
35553337,Ignacio,Herrera,iherreras@gmail.com,socio,True,False,2023-12-22,iherreras@gmail.com
16601392,Diego,Silva,dsilvan@gmail.com,socio,True,False,2025-06-13,dsilvan@gmail.com
22685755,Diego,Miranda,dmirandam@gmail.com,socio,True,False,2025-09-11,dmirandam@gmail.com
23638593,Martina,Bravo,mbravos@gmail.com,socio,False,False,2025-07-17,mbravos@gmail.com
77063002,Elena,Romero,eromerod@gmail.com,socio,True,False,2025-04-27,eromerod@gmail.com
22384073,Paula,Lopez,plopeza@gmail.com,socio,True,False,2025-05-02,plopeza@gmail.com
66353692,Martina,Silva,msilvam@gmail.com,socio,True,False,2024-06-19,msilvam@gmail.com
41388763,Pablo,Vega,pvegar@gmail.com,socio,True,False,2024-05-01,pvegar@gmail.com
33785610,Benjamin,Ibarra,bibarram@gmail.com,socio,True,False,2025-10-06,bibarram@gmail.com
13076093,Jose,Echeverria,jecheverriar@gmail.com,socio,True,False,2024-01-23,jecheverriar@gmail.com
70877634,Pablo,Kraus,pkrauss@gmail.com,socio,True,False,2024-06-14,pkrauss@gmail.com
29668825,Florencia,Miranda,fmirandae@gmail.com,socio,True,False,2025-11-02,fmirandae@gmail.com
32943214,Valentina,Rojas,vrojasb@gmail.com,socio,True,False,2024-11-12,vrojasb@gmail.com
98523993,Tomas,Rojas,trojash@gmail.com,socio,True,False,2024-11-26,trojash@gmail.com
45555431,Maria,Kraus,mkrauss@gmail.com,socio,True,False,2025-08-22,mkrauss@gmail.com
19764779,Clara,Kraus,ckrausl@gmail.com,socio,False,False,2024-09-23,ckrausl@gmail.com
84829928,Clara,Vega,cvegam@gmail.com,socio,True,False,2024-08-21,cvegam@gmail.com
83380336,Sebastian,Vargas,svargasf@gmail.com,socio,True,False,2025-09-27,svargasf@gmail.com
40843108,Ricardo,Munoz,rmunozv@gmail.com,socio,True,False,2024-03-02,rmunozv@gmail.com
97022836,Catalina,Miranda,cmirandav@gmail.com,socio,True,False,2024-02-23,cmirandav@gmail.com
84294997,Alonso,Vega,avegam@gmail.com,socio,True,False,2024-11-14,avegam@gmail.com
14804924,Sebastian,Miranda,smirandar@gmail.com,socio,True,False,2025-05-05,smirandar@gmail.com
62411510,Sebastian,Herrera,sherrerar@gmail.com,socio,True,False,2024-01-02,sherrerar@gmail.com
46896459,Hector,Vega,hvegar@gmail.com,socio,True,False,2025-08-31,hvegar@gmail.com
91930786,Pablo,Romero,promerof@gmail.com,socio,True,False,2024-04-29,promerof@gmail.com
68581283,Franco,Navarro,fnavarrok@gmail.com,socio,True,False,2025-05-31,fnavarrok@gmail.com
87417359,Valentina,Castillo,vcastillom@gmail.com,socio,True,False,2025-09-26,vcastillom@gmail.com
80382000,Sebastian,Castillo,scastillob@gmail.com,socio,True,False,2025-04-28,scastillob@gmail.com
16962144,Ricardo,Gutierrez,rgutierrezr@gmail.com,socio,True,False,2024-10-31,rgutierrezr@gmail.com
93153138,Florencia,Herrera,fherrerad@gmail.com,socio,True,False,2025-09-26,fherrerad@gmail.com
82715151,Benjamin,Lopez,blopezs@gmail.com,socio,True,False,2024-10-17,blopezs@gmail.com
62770835,Tomas,Kraus,tkrausm@gmail.com,socio,True,False,2025-06-14,tkrausm@gmail.com
34922740,Paula,Vega,pvegav@gmail.com,socio,True,False,2024-05-08,pvegav@gmail.com
62530853,Marcos,Silva,msilvaf@gmail.com,socio,False,False,2024-03-28,msilvaf@gmail.com
44994374,Antonia,Herrera,aherreral@gmail.com,socio,True,False,2024-05-08,aherreral@gmail.com
33877142,Alonso,Kraus,akrausf@gmail.com,socio,True,False,2024-03-25,akrausf@gmail.com
39832632,Jose,Gutierrez,jgutierrezi@gmail.com,socio,True,False,2023-12-03,jgutierrezi@gmail.com
24255348,Lucas,Ibarra,libarram@gmail.com,socio,False,False,2025-10-09,libarram@gmail.com
61845501,Joaquin,Miranda,jmirandas@gmail.com,socio,True,False,2024-12-11,jmirandas@gmail.com
45125720,Clara,Bravo,cbravov@gmail.com,socio,True,False,2024-12-26,cbravov@gmail.com
78761110,Benjamin,Juarez,bjuarezb@gmail.com,socio,True,False,2024-06-30,bjuarezb@gmail.com
80000261,Tomas,Munoz,tmunozm@gmail.com,socio,True,False,2025-09-27,tmunozm@gmail.com
51282753,Ignacio,Martinez,imartinezh@gmail.com,socio,True,False,2024-07-28,imartinezh@gmail.com
24391123,Paula,Castillo,pcastillom@gmail.com,socio,False,False,2024-02-09,pcastillom@gmail.com
80400524,Paula,Arias,pariasf@gmail.com,socio,True,False,2024-08-25,pariasf@gmail.com
93318446,Antonia,Munoz,amunozg@gmail.com,socio,True,False,2024-01-16,amunozg@gmail.com
21695334,Diego,Echeverria,decheverriaf@gmail.com,socio,True,False,2024-07-25,decheverriaf@gmail.com
89421300,Camila,Sanchez,csanchezc@gmail.com,socio,True,False,2025-09-04,csanchezc@gmail.com
74157929,Paula,Perez,ppereze@gmail.com,socio,True,False,2025-06-25,ppereze@gmail.com
56750216,Camila,Miranda,cmirandao@gmail.com,socio,False,False,2025-06-17,cmirandao@gmail.com
67465557,Sebastian,Flores,sfloresk@gmail.com,socio,True,False,2024-03-17,sfloresk@gmail.com
82331933,Ricardo,Echeverria,recheverriar@gmail.com,socio,True,False,2025-05-17,recheverriar@gmail.com
55269670,Laura,Castillo,lcastillom@gmail.com,socio,True,False,2024-11-22,lcastillom@gmail.com
52590946,Gabriel,Rodriguez,grodriguezf@gmail.com,socio,True,False,2025-06-26,grodriguezf@gmail.com
21137101,Franco,Kraus,fkrauss@gmail.com,socio,False,False,2025-06-18,fkrauss@gmail.com
15754576,Sofia,Juarez,sjuarezm@gmail.com,socio,True,False,2024-01-20,sjuarezm@gmail.com
19764093,Andrea,Juarez,ajuarezg@gmail.com,socio,True,False,2025-07-09,ajuarezg@gmail.com
37963448,Marcos,Castillo,mcastillor@gmail.com,socio,True,False,2024-06-30,mcastillor@gmail.com
67134182,Martina,Alarcon,malarcona@gmail.com,socio,True,False,2024-12-29,malarcona@gmail.com
61414457,Camila,Miranda,cmirandav@gmail.com,socio,False,False,2024-06-11,cmirandav@gmail.com
66783807,Laura,Kraus,lkrausg@gmail.com,socio,True,False,2025-01-09,lkrausg@gmail.com
27412946,Valentina,Diaz,vdiazg@gmail.com,socio,True,False,2023-11-15,vdiazg@gmail.com
19340643,Ignacio,Vargas,ivargasm@gmail.com,socio,True,False,2025-05-11,ivargasm@gmail.com
27948371,Ricardo,Garcia,rgarcias@gmail.com,socio,True,False,2025-04-14,rgarcias@gmail.com
10950836,Elena,Garcia,egarciaa@gmail.com,socio,True,False,2024-10-14,egarciaa@gmail.com
42849585,Elena,Rojas,erojasm@gmail.com,socio,True,False,2025-05-25,erojasm@gmail.com
13251476,Sebastian,Romero,sromeror@gmail.com,socio,True,False,2024-07-10,sromeror@gmail.com
71206971,Laura,Rojas,lrojasb@gmail.com,socio,True,False,2024-11-11,lrojasb@gmail.com
58746187,Antonia,Silva,asilvad@gmail.com,socio,True,False,2024-10-12,asilvad@gmail.com
29118747,Jose,Munoz,jmunozc@gmail.com,socio,True,False,2023-12-20,jmunozc@gmail.com
84329746,Florencia,Juarez,fjuarezb@gmail.com,socio,True,False,2025-09-11,fjuarezb@gmail.com
26230918,Tomas,Cruz,tcruzr@gmail.com,socio,True,False,2024-07-24,tcruzr@gmail.com
39161475,Martina,Romero,mromerof@gmail.com,socio,True,False,2025-05-02,mromerof@gmail.com
92518294,Jose,Navarro,jnavarrok@gmail.com,socio,False,False,2025-05-13,jnavarrok@gmail.com
53883117,Alonso,Arias,aariasf@gmail.com,socio,True,False,2024-04-17,aariasf@gmail.com
53634520,Lucas,Juarez,ljuarezl@gmail.com,socio,True,False,2024-03-23,ljuarezl@gmail.com
84617558,Sebastian,Martinez,smartinezc@gmail.com,socio,True,False,2025-07-02,smartinezc@gmail.com
76183001,Andrea,Romero,aromerod@gmail.com,socio,True,False,2024-09-28,aromerod@gmail.com
45035917,Sofia,Navarro,snavarroc@gmail.com,socio,True,False,2025-07-08,snavarroc@gmail.com
88150391,Maria,Vega,mvegag@gmail.com,socio,True,False,2024-03-30,mvegag@gmail.com
54440795,Isabella,Lopez,ilopezm@gmail.com,socio,False,False,2024-05-14,ilopezm@gmail.com
75810642,Alonso,Sanchez,asanchezm@gmail.com,socio,False,False,2024-04-12,asanchezm@gmail.com
30030597,Camila,Gutierrez,cgutierrezp@gmail.com,socio,True,False,2024-10-27,cgutierrezp@gmail.com
17286763,Ricardo,Diaz,rdiazi@gmail.com,socio,False,False,2025-09-27,rdiazi@gmail.com
75625144,Catalina,Echeverria,cecheverriao@gmail.com,socio,True,False,2024-06-04,cecheverriao@gmail.com
38264338,Maria,Rodriguez,mrodriguezb@gmail.com,socio,True,False,2025-04-29,mrodriguezb@gmail.com
18171310,Sebastian,Herrera,sherrerak@gmail.com,socio,False,False,2025-01-24,sherrerak@gmail.com
96625040,Lucas,Kraus,lkraush@gmail.com,socio,True,False,2024-07-21,lkraush@gmail.com
38192623,Paula,Ibarra,pibarral@gmail.com,socio,True,False,2025-06-05,pibarral@gmail.com
88769634,Tomas,Echeverria,techeverriak@gmail.com,socio,True,False,2024-12-29,techeverriak@gmail.com
78636393,Catalina,Alarcon,calarconi@gmail.com,socio,False,False,2025-04-17,calarconi@gmail.com
21092802,Jose,Arias,jariasf@gmail.com,socio,False,False,2024-02-20,jariasf@gmail.com
94998837,Valentina,Herrera,vherreram@gmail.com,socio,True,False,2025-04-06,vherreram@gmail.com
71786427,Marcos,Bravo,mbravok@gmail.com,socio,True,False,2023-12-29,mbravok@gmail.com
21977132,Benjamin,Vega,bvegae@gmail.com,socio,True,False,2024-09-18,bvegae@gmail.com
26234545,Hector,Lopez,hlopezm@gmail.com,socio,True,False,2024-11-18,hlopezm@gmail.com
68738639,Hector,Miranda,hmirandae@gmail.com,socio,True,False,2024-02-06,hmirandae@gmail.com
86756950,Martina,Munoz,mmunozv@gmail.com,socio,True,False,2024-11-24,mmunozv@gmail.com
71115136,Sofia,Bravo,sbravol@gmail.com,socio,True,False,2025-06-04,sbravol@gmail.com
22093079,Diego,Lopez,dlopezs@gmail.com,socio,True,False,2024-04-12,dlopezs@gmail.com
55252261,Andrea,Miranda,amirandap@gmail.com,socio,True,False,2025-06-04,amirandap@gmail.com
89376527,Florencia,Perez,fperezg@gmail.com,socio,True,False,2024-10-11,fperezg@gmail.com
97933602,Isabella,Flores,ifloresd@gmail.com,socio,True,False,2023-12-23,ifloresd@gmail.com
88310524,Ignacio,Perez,ipereze@gmail.com,socio,True,False,2025-07-28,ipereze@gmail.com
46971875,Maria,Sanchez,msanchezp@gmail.com,socio,True,False,2024-11-02,msanchezp@gmail.com
51197481,Sebastian,Rodriguez,srodriguezh@gmail.com,socio,True,False,2025-10-08,srodriguezh@gmail.com
30960858,Isabella,Juarez,ijuarezd@gmail.com,socio,True,False,2025-09-10,ijuarezd@gmail.com
74331966,Ignacio,Vega,ivegal@gmail.com,socio,True,False,2025-09-04,ivegal@gmail.com
21458649,Franco,Munoz,fmunozr@gmail.com,socio,True,False,2024-03-10,fmunozr@gmail.com
47768705,Lucas,Perez,lperezp@gmail.com,socio,True,False,2024-12-12,lperezp@gmail.com
94790000,Marcos,Lopez,mlopezg@gmail.com,socio,True,False,2023-11-08,mlopezg@gmail.com
26736237,Mateo,Gutierrez,mgutierrezm@gmail.com,socio,False,False,2024-09-15,mgutierrezm@gmail.com
95877694,Jose,Kraus,jkrause@gmail.com,socio,True,False,2024-12-24,jkrause@gmail.com
56712081,Ignacio,Romero,iromeron@gmail.com,socio,False,False,2025-05-12,iromeron@gmail.com
24284125,Catalina,Fuentes,cfuentesg@gmail.com,socio,True,False,2024-08-17,cfuentesg@gmail.com
25906087,Mateo,Ortiz,mortizm@gmail.com,socio,True,False,2025-04-06,mortizm@gmail.com
65374574,Hector,Diaz,hdiazf@gmail.com,socio,True,False,2024-09-22,hdiazf@gmail.com
66882181,Isabella,Fuentes,ifuentesl@gmail.com,socio,True,False,2025-10-22,ifuentesl@gmail.com
59156422,Ricardo,Diaz,rdiazb@gmail.com,socio,True,False,2024-03-08,rdiazb@gmail.com
18160765,Alonso,Sanchez,asanchezc@gmail.com,socio,True,False,2024-06-02,asanchezc@gmail.com
17232064,Maria,Sanchez,msanchezg@gmail.com,socio,False,False,2025-08-15,msanchezg@gmail.com
58468857,Paula,Ibarra,pibarrav@gmail.com,socio,True,False,2025-01-01,pibarrav@gmail.com
36380976,Florencia,Lopez,flopezs@gmail.com,socio,True,False,2024-08-16,flopezs@gmail.com
57692057,Sebastian,Ibarra,sibarram@gmail.com,socio,True,False,2024-08-22,sibarram@gmail.com
26172749,Joaquin,Gonzalez,jgonzalezm@gmail.com,socio,True,False,2023-12-18,jgonzalezm@gmail.com
64033353,Clara,Martinez,cmartinezv@gmail.com,socio,True,False,2025-02-17,cmartinezv@gmail.com
29986839,Elena,Herrera,eherreraa@gmail.com,socio,True,False,2025-08-31,eherreraa@gmail.com
73753876,Paula,Perez,pperezc@gmail.com,socio,True,False,2025-02-05,pperezc@gmail.com
54336376,Gabriel,Sanchez,gsanchezv@gmail.com,socio,True,False,2025-07-08,gsanchezv@gmail.com
72727812,Jose,Fuentes,jfuentesb@gmail.com,socio,True,False,2025-10-15,jfuentesb@gmail.com
82998067,Catalina,Navarro,cnavarrog@gmail.com,socio,True,False,2025-11-01,cnavarrog@gmail.com
52502178,Pablo,Cruz,pcruzr@gmail.com,socio,True,False,2024-02-18,pcruzr@gmail.com
49947069,Mateo,Flores,mfloresn@gmail.com,socio,True,False,2024-02-23,mfloresn@gmail.com
96976700,Joaquin,Alarcon,jalarcong@gmail.com,socio,True,False,2024-03-10,jalarcong@gmail.com
61300867,Benjamin,Garcia,bgarciaa@gmail.com,socio,False,False,2024-10-09,bgarciaa@gmail.com
48474186,Valentina,Martinez,vmartinezf@gmail.com,socio,True,False,2024-03-30,vmartinezf@gmail.com
53260996,Lucas,Garcia,lgarcial@gmail.com,socio,False,False,2023-11-30,lgarcial@gmail.com
48803134,Pablo,Navarro,pnavarrov@gmail.com,socio,True,False,2025-10-20,pnavarrov@gmail.com
32165081,Paula,Kraus,pkrauss@gmail.com,socio,True,False,2025-03-30,pkrauss@gmail.com
82551437,Camila,Romero,cromerog@gmail.com,socio,True,False,2024-09-10,cromerog@gmail.com
98484896,Tomas,Bravo,tbravob@gmail.com,socio,False,False,2024-04-25,tbravob@gmail.com
59576939,Ricardo,Rojas,rrojasg@gmail.com,socio,True,False,2024-03-16,rrojasg@gmail.com
21207286,Valentina,Juarez,vjuarezs@gmail.com,socio,True,False,2024-05-03,vjuarezs@gmail.com
98783194,Jose,Vargas,jvargask@gmail.com,socio,False,False,2025-08-24,jvargask@gmail.com
44901404,Hector,Herrera,hherreraj@gmail.com,socio,True,False,2025-05-24,hherreraj@gmail.com
57788337,Maria,Juarez,mjuarezj@gmail.com,socio,True,False,2025-03-11,mjuarezj@gmail.com
68742783,Maria,Miranda,mmirandar@gmail.com,socio,True,False,2025-09-02,mmirandar@gmail.com
66208717,Catalina,Ortiz,cortizm@gmail.com,socio,True,False,2023-12-23,cortizm@gmail.com
35355653,Paula,Lopez,plopezg@gmail.com,socio,True,False,2024-03-05,plopezg@gmail.com
21278653,Clara,Alarcon,calarconb@gmail.com,socio,True,False,2024-06-11,calarconb@gmail.com
32192825,Jose,Silva,jsilvaf@gmail.com,socio,True,False,2024-07-18,jsilvaf@gmail.com
74040071,Florencia,Navarro,fnavarrob@gmail.com,socio,True,False,2024-03-12,fnavarrob@gmail.com
21869810,Laura,Sanchez,lsanchezs@gmail.com,socio,True,False,2024-08-24,lsanchezs@gmail.com
43300964,Elena,Ortiz,eortiza@gmail.com,socio,False,False,2023-12-15,eortiza@gmail.com
40082312,Laura,Ortiz,lortizo@gmail.com,socio,True,False,2025-07-18,lortizo@gmail.com
98399977,Maria,Navarro,mnavarrof@gmail.com,socio,True,False,2024-01-19,mnavarrof@gmail.com
95852907,Franco,Kraus,fkrausa@gmail.com,socio,True,False,2024-04-24,fkrausa@gmail.com
67620777,Catalina,Kraus,ckrausv@gmail.com,socio,True,False,2024-05-30,ckrausv@gmail.com
30528501,Isabella,Romero,iromerog@gmail.com,socio,True,False,2025-06-12,iromerog@gmail.com
42636120,Hector,Rodriguez,hrodriguezn@gmail.com,socio,True,False,2024-04-24,hrodriguezn@gmail.com
39796682,Camila,Navarro,cnavarrof@gmail.com,socio,True,False,2024-05-08,cnavarrof@gmail.com
68506613,Lucas,Vega,lvegam@gmail.com,socio,True,False,2024-07-01,lvegam@gmail.com
90791349,Clara,Miranda,cmirandar@gmail.com,socio,True,False,2024-02-05,cmirandar@gmail.com
38783232,Isabella,Vargas,ivargasr@gmail.com,socio,True,False,2023-12-28,ivargasr@gmail.com
31910386,Franco,Alarcon,falarcong@gmail.com,socio,True,False,2025-03-11,falarcong@gmail.com
10056964,Alonso,Arias,aariasj@gmail.com,socio,False,False,2025-09-21,aariasj@gmail.com
22669557,Antonia,Ortiz,aortizm@gmail.com,socio,True,False,2023-11-18,aortizm@gmail.com
47368451,Tomas,Rodriguez,trodriguezk@gmail.com,socio,True,False,2025-02-09,trodriguezk@gmail.com
97279876,Benjamin,Arias,bariasc@gmail.com,socio,True,False,2025-01-12,bariasc@gmail.com
63964216,Ricardo,Navarro,rnavarroa@gmail.com,socio,False,False,2024-06-27,rnavarroa@gmail.com
79227788,Hector,Diaz,hdiazr@gmail.com,socio,True,False,2024-05-02,hdiazr@gmail.com
83377419,Sebastian,Alarcon,salarconm@gmail.com,socio,True,False,2024-09-20,salarconm@gmail.com
46439924,Sebastian,Perez,sperezs@gmail.com,socio,True,False,2024-09-07,sperezs@gmail.com
53815113,Benjamin,Flores,bfloresg@gmail.com,socio,False,False,2024-10-15,bfloresg@gmail.com
99008895,Sebastian,Arias,sariasv@gmail.com,socio,True,False,2024-03-19,sariasv@gmail.com
51824362,Franco,Ortiz,fortizr@gmail.com,socio,True,False,2024-12-20,fortizr@gmail.com
55672278,Marcos,Rojas,mrojasc@gmail.com,socio,True,False,2023-12-30,mrojasc@gmail.com
90410932,Benjamin,Vega,bvegap@gmail.com,socio,True,False,2023-12-02,bvegap@gmail.com
61202708,Ignacio,Gutierrez,igutierrezc@gmail.com,socio,True,False,2025-08-24,igutierrezc@gmail.com
18303664,Gabriel,Bravo,gbravod@gmail.com,socio,True,False,2024-04-15,gbravod@gmail.com
43360201,Martina,Arias,mariasc@gmail.com,socio,True,False,2024-05-26,mariasc@gmail.com
17490874,Antonia,Rodriguez,arodriguezv@gmail.com,socio,True,False,2025-09-15,arodriguezv@gmail.com
50417354,Andrea,Alarcon,aalarconn@gmail.com,socio,True,False,2024-03-20,aalarconn@gmail.com
60510897,Mateo,Vargas,mvargask@gmail.com,socio,True,False,2024-04-13,mvargask@gmail.com
16711201,Gabriel,Fuentes,gfuentesa@gmail.com,socio,True,False,2025-05-23,gfuentesa@gmail.com
52244708,Ricardo,Kraus,rkrausv@gmail.com,socio,True,False,2024-08-08,rkrausv@gmail.com
70481364,Elena,Gonzalez,egonzalezn@gmail.com,socio,True,False,2025-04-22,egonzalezn@gmail.com
67062863,Ricardo,Vega,rvegag@gmail.com,socio,True,False,2024-10-22,rvegag@gmail.com
27556501,Florencia,Juarez,fjuarezh@gmail.com,socio,True,False,2023-11-18,fjuarezh@gmail.com
54829000,Benjamin,Herrera,bherreraa@gmail.com,socio,True,False,2025-09-11,bherreraa@gmail.com
31510288,Hector,Bravo,hbravoa@gmail.com,socio,True,False,2025-06-02,hbravoa@gmail.com
67469612,Clara,Flores,cfloresr@gmail.com,socio,True,False,2024-09-20,cfloresr@gmail.com
62364176,Antonia,Vega,avegar@gmail.com,socio,True,False,2025-05-07,avegar@gmail.com
77559901,Benjamin,Rojas,brojasr@gmail.com,socio,True,False,2024-05-24,brojasr@gmail.com
82054847,Mateo,Gonzalez,mgonzaleze@gmail.com,socio,True,False,2024-03-12,mgonzaleze@gmail.com
76375258,Florencia,Fuentes,ffuentesc@gmail.com,socio,True,False,2025-08-15,ffuentesc@gmail.com
69604527,Franco,Juarez,fjuarezr@gmail.com,socio,False,False,2025-06-19,fjuarezr@gmail.com
32026463,Gabriel,Flores,gfloress@gmail.com,socio,False,False,2025-07-14,gfloress@gmail.com
43719321,Mateo,Martinez,mmartinezm@gmail.com,socio,True,False,2025-03-16,mmartinezm@gmail.com
61790520,Laura,Navarro,lnavarrod@gmail.com,socio,True,False,2024-04-16,lnavarrod@gmail.com
59458666,Paula,Alarcon,palarconl@gmail.com,socio,True,False,2024-12-22,palarconl@gmail.com
41213772,Pablo,Ortiz,portizc@gmail.com,socio,True,False,2025-02-18,portizc@gmail.com
14219205,Clara,Silva,csilvam@gmail.com,socio,True,False,2024-01-06,csilvam@gmail.com
29547737,Andrea,Romero,aromeroc@gmail.com,socio,False,False,2025-06-14,aromeroc@gmail.com
70055642,Valentina,Kraus,vkrausc@gmail.com,socio,True,False,2024-06-19,vkrausc@gmail.com
21390627,Franco,Diaz,fdiazg@gmail.com,socio,True,False,2024-09-23,fdiazg@gmail.com
96579145,Lucas,Bravo,lbravov@gmail.com,socio,True,False,2025-10-04,lbravov@gmail.com
60936563,Paula,Ortiz,portizo@gmail.com,socio,True,False,2024-07-06,portizo@gmail.com
18157513,Sofia,Alarcon,salarcono@gmail.com,socio,True,False,2025-09-23,salarcono@gmail.com
14456047,Laura,Alarcon,lalarconm@gmail.com,socio,True,False,2024-04-25,lalarconm@gmail.com
40794547,Valentina,Silva,vsilvav@gmail.com,socio,True,False,2024-12-27,vsilvav@gmail.com
95143591,Marcos,Kraus,mkrausi@gmail.com,socio,True,False,2024-09-25,mkrausi@gmail.com
18987335,Camila,Vargas,cvargasm@gmail.com,socio,True,False,2025-01-23,cvargasm@gmail.com
45118439,Hector,Bravo,hbravor@gmail.com,socio,True,False,2024-05-09,hbravor@gmail.com
18852650,Sebastian,Juarez,sjuarezr@gmail.com,socio,True,False,2023-11-14,sjuarezr@gmail.com
97363788,Benjamin,Gonzalez,bgonzaleza@gmail.com,socio,True,False,2024-03-04,bgonzaleza@gmail.com
78785556,Sebastian,Romero,sromerom@gmail.com,socio,True,False,2024-10-05,sromerom@gmail.com
88695322,Jose,Navarro,jnavarroa@gmail.com,socio,False,False,2025-05-30,jnavarroa@gmail.com
18176660,Clara,Cruz,ccruzv@gmail.com,socio,True,False,2024-03-22,ccruzv@gmail.com
46807983,Paula,Fuentes,pfuentess@gmail.com,socio,True,False,2024-10-15,pfuentess@gmail.com
90291375,Ricardo,Rojas,rrojasi@gmail.com,socio,True,False,2025-02-19,rrojasi@gmail.com
84725325,Valentina,Juarez,vjuarezm@gmail.com,socio,True,False,2024-05-20,vjuarezm@gmail.com
30259880,Jose,Flores,jfloress@gmail.com,socio,False,False,2024-09-29,jfloress@gmail.com
38197836,Tomas,Juarez,tjuarezn@gmail.com,socio,False,False,2024-05-26,tjuarezn@gmail.com
38466389,Laura,Navarro,lnavarroo@gmail.com,socio,True,False,2025-09-20,lnavarroo@gmail.com
33585966,Sofia,Lopez,slopezg@gmail.com,socio,True,False,2023-11-27,slopezg@gmail.com
25383275,Maria,Arias,mariash@gmail.com,socio,True,False,2024-01-28,mariash@gmail.com
74538117,Marcos,Ortiz,mortizk@gmail.com,socio,True,False,2024-04-23,mortizk@gmail.com
61501475,Diego,Martinez,dmartinezr@gmail.com,socio,False,False,2025-03-09,dmartinezr@gmail.com
97224832,Diego,Kraus,dkrausc@gmail.com,socio,True,False,2024-05-31,dkrausc@gmail.com
66524475,Ricardo,Fuentes,rfuentess@gmail.com,socio,True,False,2024-12-23,rfuentess@gmail.com
23107454,Jose,Castillo,jcastillog@gmail.com,socio,True,False,2025-10-18,jcastillog@gmail.com
34478552,Clara,Herrera,cherrerak@gmail.com,socio,False,False,2025-01-23,cherrerak@gmail.com
68724936,Alonso,Navarro,anavarroh@gmail.com,socio,True,False,2023-11-30,anavarroh@gmail.com
62336062,Gabriel,Juarez,gjuarezb@gmail.com,socio,True,False,2025-08-21,gjuarezb@gmail.com
59790543,Andrea,Herrera,aherrerak@gmail.com,socio,True,False,2025-08-04,aherrerak@gmail.com
10212821,Elena,Gutierrez,egutierrezv@gmail.com,socio,True,False,2025-07-25,egutierrezv@gmail.com
89387274,Paula,Kraus,pkrausk@gmail.com,socio,True,False,2024-05-18,pkrausk@gmail.com
36125123,Ignacio,Echeverria,iecheverriao@gmail.com,socio,True,False,2025-04-11,iecheverriao@gmail.com
86164272,Valentina,Herrera,vherrerao@gmail.com,socio,True,False,2024-02-22,vherrerao@gmail.com
82468931,Sofia,Miranda,smirandag@gmail.com,socio,True,False,2024-01-24,smirandag@gmail.com
98638976,Joaquin,Miranda,jmirandab@gmail.com,socio,True,False,2025-10-04,jmirandab@gmail.com
58723900,Jose,Arias,jariasl@gmail.com,socio,False,False,2024-07-27,jariasl@gmail.com
41775718,Sofia,Cruz,scruzv@gmail.com,socio,True,False,2025-06-22,scruzv@gmail.com
71008953,Laura,Echeverria,lecheverriar@gmail.com,socio,True,False,2025-10-20,lecheverriar@gmail.com
10784416,Isabella,Ortiz,iortizi@gmail.com,socio,True,False,2024-07-20,iortizi@gmail.com
71816745,Camila,Castillo,ccastillos@gmail.com,socio,True,False,2023-11-12,ccastillos@gmail.com
49835534,Alonso,Perez,aperezf@gmail.com,socio,True,False,2025-08-20,aperezf@gmail.com
96567889,Pablo,Flores,pfloresg@gmail.com,socio,True,False,2024-02-20,pfloresg@gmail.com
45738306,Florencia,Perez,fpereza@gmail.com,socio,False,False,2024-02-26,fpereza@gmail.com
19992259,Antonia,Miranda,amirandan@gmail.com,socio,False,False,2023-11-11,amirandan@gmail.com
59182925,Hector,Juarez,hjuarezs@gmail.com,socio,True,False,2024-04-17,hjuarezs@gmail.com
